Account,Title,Subscribers,Views,Likes,Comments,Shares
billieeilish,BILLIE EILISH,41600000,95000000,18100000,151000,54800
badbunny,Bad Bunny,13400000,33300000,7300000,101900,106800
chipmunksoftiktok,Chipmunks of TikTok,11400000,25000000,3000000,21800,64200
charlidamelio,charli d’amelio,135400000,18700000,2600000,54700,35200
yessicadcs,Yessica y Moises 🦜,263700,16700000,1400000,16200,138400
therock,The Rock,49700000,24700000,3000000,30900,16400
the_pruld,ThePruld,433300,12200000,2700000,36300,56600
lukedonkin,Luke Donkin,2000000,14000000,2400000,34000,54900
mastertingus,mastertingus,1300000,13400000,2000000,32500,44100
txt.bighitent,TOMORROW X TOGETHER,15300000,7200000,2200000,57200,31000
besttoks,Best of TikTok,1800000,55900000,1500000,3300,12700
machinegunkelly,Colson,3200000,17500000,1400000,26800,23300
jenniferkershner,Jennifer Kershner,12500,6400000,1600000,22600,62000
noahschnapp,Noah Schnapp,20100000,8600000,1800000,42000,11300
bdylanhollis,B. Dylan Hollis,6400000,9100000,1500000,12400,46100
fisherbenny,Benjamin Bakke,3700000,13100000,1100000,7000,41700
sylvaniandrama,Sylvaniandrama,1800000,5500000,1300000,32700,56500
iamferv,Fernanda,24600000,12900000,1900000,15800,8300
mercyfno,Mercy,404500,11800000,1400000,17400,18100
userbigbabywithdaoil,Byron Tremain Chandl,601800,8700000,414200,23600,125400
bellapoarch,Bella Poarch,87900000,15400000,1800000,16400,3100
jacobwitzling,Jacob Witzling,236000,9500000,1100000,11600,35400
karna.val,🎀КАРНАВАЛ🎀,22400000,11800000,1300000,17300,12600
kimberly.loaiza,Kimberly Loaiza,59000000,10400000,1600000,22500,4900
parthpatel___,Parth Patel,179600,14100000,1400000,16700,6200
enhypen,enhypen,10100000,4800000,1200000,44300,32200
jasminechiswell,Jasmine Chiswell,14700000,13900000,1900000,13900,1800
khaby.lame,Khabane lame,131100000,13800000,1600000,12700,5900
y_chun,欸！雨群 YuChun,1600000,9300000,2600000,5300,10700
miakhalifa,Mia Khalifa,31800000,13800000,1200000,9400,13500
domelipa,Dominik,48500000,9700000,1600000,15000,7400
